Longitude	Latitude	ptemp_fi [degree Celsius] @ ptemp_fi [degree Celsius]=first
320.763063	7.211027	-10000000000.00000
320.780832	7.211027	1.36022
320.798497	7.211027	1.35653
320.816060	7.211027	1.35278
320.833522	7.211027	1.34898
320.850888	7.211027	1.34512
320.868158	7.211027	1.34125
320.885334	7.211027	1.33738
320.902420	7.211027	1.33356
320.919417	7.211027	1.32986
320.936326	7.211027	1.32635
320.953150	7.211027	1.32310
320.969891	7.211027	1.32019
320.986550	7.211027	1.31778
321.003129	7.211027	1.31599
321.019629	7.211027	1.31493
321.036052	7.211027	1.31480
321.052400	7.211027	1.31580
321.068675	7.211027	1.31813
321.084877	7.211027	1.32204
321.101008	7.211027	1.32780
321.117069	7.211027	1.33576
321.133062	7.211027	1.34629
321.148989	7.211027	1.35905
321.164849	7.211027	1.37374
321.180645	7.211027	1.39004
321.196378	7.211027	1.40763
321.212048	7.211027	1.42626
321.227658	7.211027	1.44569
321.243207	7.211027	1.46564
321.258698	7.211027	1.48581
321.274131	7.211027	1.50590
321.289507	7.211027	1.52558
321.304827	7.211027	1.54454
321.320092	7.211027	1.56239
321.335303	7.211027	1.57882
321.350462	7.211027	1.59344
321.365568	7.211027	1.60587
321.380623	7.211027	1.61573
321.395627	7.211027	1.62287
321.410582	7.211027	1.62709
321.425489	7.211027	1.62808
321.440347	7.211027	1.62559
321.455158	7.211027	1.61972
321.469923	7.211027	1.61094
321.484642	7.211027	1.59968
321.499316	7.211027	1.58632
321.513946	7.211027	1.57010
321.528532	7.211027	1.55463
321.543075	7.211027	1.54465
321.557577	7.211027	1.54264
321.572036	7.211027	1.54896
321.586455	7.211027	1.56301
321.600833	7.211027	1.58350
321.615172	7.211027	1.60933
321.629472	7.211027	1.63975
321.643733	7.211027	1.67250
321.657956	7.211027	1.70492
321.672142	7.211027	1.73423
321.686291	7.211027	1.75866
321.700404	7.211027	1.77347
321.714481	7.211027	1.77462
321.728523	7.211027	1.75738
321.742531	7.211027	1.71468
321.756504	7.211027	1.65484
321.770443	7.211027	1.59193
321.784349	7.211027	1.53654
321.798223	7.211027	1.49989
321.812064	7.211027	1.48496
321.825874	7.211027	1.48387
321.839652	7.211027	1.48760
321.853399	7.211027	1.48805
321.867116	7.211027	1.48749
321.880803	7.211027	1.48694
321.894460	7.211027	1.48574
321.908088	7.211027	1.48281
321.921687	7.211027	1.47032
321.935258	7.211027	1.44658
321.948801	7.211027	1.41432
321.962316	7.211027	1.37628
321.975804	7.211027	1.33644
321.989265	7.211027	1.29828
322.002700	7.211027	1.26419
322.016109	7.211027	1.23632
322.029492	7.211027	1.21647
322.042849	7.211027	1.20606
322.056181	7.211027	1.20708
322.069489	7.211027	1.22172
322.082773	7.211027	1.25184
322.096032	7.211027	1.30405
322.109267	7.211027	1.38475
322.122480	7.211027	1.49816
322.135669	7.211027	1.64661
322.148835	7.211027	1.82277
322.161979	7.211027	-10000000000.00000
322.175101	7.211027	-10000000000.00000
322.188201	7.211027	-10000000000.00000
322.201280	7.211027	-10000000000.00000
322.214337	7.211027	-10000000000.00000
322.227373	7.211027	-10000000000.00000
322.240389	7.211027	1.86200
322.253384	7.211027	1.85515
322.266359	7.211027	1.85330
322.279314	7.211027	1.85441
322.292250	7.211027	1.85748
322.305166	7.211027	1.86221
322.318064	7.211027	1.86597
322.330942	7.211027	1.86825
322.343802	7.211027	1.86918
322.356644	7.211027	1.86907
322.369468	7.211027	1.86855
322.382274	7.211027	1.86810
322.395062	7.211027	1.86802
322.407833	7.211027	1.86838
322.420587	7.211027	1.86866
322.433324	7.211027	1.86922
322.446045	7.211027	1.86999
322.458749	7.211027	1.87064
322.471438	7.211027	1.87075
322.484110	7.211027	1.87032
322.496767	7.211027	1.87000
322.509408	7.211027	1.87037
322.522034	7.211027	1.87207
322.534645	7.211027	1.87692
322.547241	7.211027	1.88829
322.559822	7.211027	1.90701
322.572389	7.211027	1.93424
322.584942	7.211027	1.97096
322.597481	7.211027	2.01137
322.610007	7.211027	2.05268
322.622518	7.211027	-10000000000.00000
322.635016	7.211027	-10000000000.00000
322.647502	7.211027	-10000000000.00000
322.659974	7.211027	-10000000000.00000
322.672433	7.211027	-10000000000.00000
322.684880	7.211027	-10000000000.00000
322.697314	7.211027	-10000000000.00000
322.709736	7.211027	-10000000000.00000
